"Title","URL"
"Revisiting Character-Based Neural Machine Translation with Capacity and Compression","https://vimeo.com/306134793"
"A Skeleton-Based Model for Promoting Coherence Among Sentences in Narrative Story Generation","https://vimeo.com/306161720"
"NEXUS Network: Connecting the Preceding and the Following in Dialogue Generation","https://vimeo.com/306163081"
"A Neural Local Coherence Model for Text Quality Assessment","https://vimeo.com/306164201"
"Deep Attentive Sentence Ordering Network","https://vimeo.com/306165142"
"Getting to ""Hearer-old"": Charting Referring Expressions Across Time","https://vimeo.com/306166016"
"Making ""fetch"" happen: The influence of social and linguistic context on nonstandard word growth and decline","https://vimeo.com/306120421"
"Analyzing Correlated Evolution of Multiple Features Using Latent Representations","https://vimeo.com/306121200"
"Capturing Regional Variation with Distributed Place Representations and Geographic Retrofitting","https://vimeo.com/306121832"
"Characterizing Interactions and Relationships between People","https://vimeo.com/306122681"
"Why Swear? Analyzing and Inferring the Intentions of Vulgar Expressions","https://vimeo.com/306123618"
"A Neural Model of Adaptation in Reading","https://vimeo.com/306153668"
"Understanding Deep Learning Performance through an Examination of Test Set Difficulty: A Psychometric Case Study","https://vimeo.com/306154181"
"Lexicosyntactic Inference in Neural Models","https://vimeo.com/306154470"
"Dual Fixed-Size Ordinally Forgetting Encoding (FOFE) for Competitive Neural Language Models","https://vimeo.com/306154936"
"The Importance of Being Recurrent for Modeling Hierarchical Structure","https://vimeo.com/306155520"
"Joint Learning for Targeted Sentiment Analysis","https://vimeo.com/306135717"
"Revisiting the Importance of Encoding Logic Rules in Sentiment Classification","https://vimeo.com/306136412"
"A Co-Attention Neural Network Model for Emotion Cause Analysis with Emotional Context Awareness","https://vimeo.com/306136988"
"Modeling Empathy and Distress in Reaction to News Stories","https://vimeo.com/306137544"
"Interpretable Emoji Prediction via Label-Wise Attention LSTMs","https://vimeo.com/306138266"
"A Tree-based Decoder for Neural Machine Translation","https://vimeo.com/306166768"
"Exploring Recombination for Efficient Decoding of Neural Machine Translation","https://vimeo.com/306168250"
"Has Machine Translation Achieved Human Parity? A Case for Document-level Evaluation","https://vimeo.com/306169001"
"Automatic Reference-Based Evaluation of Pronoun Translation Misses the Point","https://vimeo.com/306169819"
"FewRel: A Large-Scale Supervised Few-Shot Relation Classification Dataset with State-of-the-Art Evaluation","https://vimeo.com/306124333"
"A strong baseline for question relevancy ranking","https://vimeo.com/306167593"
"Learning Sequence Encoders for Temporal Knowledge Graph Completion","https://vimeo.com/306125393"
"Similar but not the Same: Word Sense Disambiguation Improves Event Detection via Neural Representation Matching","https://vimeo.com/306125936"
"Learning Word Representations with Cross-Sentence Dependency for End-to-End Co-reference Resolution","https://vimeo.com/306126460"
"How Much Reading Does Reading Comprehension Require? A Critical Investigation of Popular Benchmarks","https://vimeo.com/306140720"
"MultiWOZ - A Large-Scale Multi-Domain Wizard-of-Oz Dataset for Task-Oriented Dialogue Modelling","https://vimeo.com/306141298"
"Linguistically-Informed Self-Attention for Semantic Role Labeling","https://vimeo.com/306141078"
"Phrase-Based & Neural Unsupervised Machine Translation","https://vimeo.com/306145842"
"Conversational Decision-Making Model for Predicting the King’s Decision in the Annals of the Joseon Dynasty","https://vimeo.com/306361321"
"Towards Exploiting Background Knowledge for Building Conversation Systems","https://vimeo.com/305939688"
"A Nil-Aware Answer Extraction Framework for Question Answering","https://vimeo.com/306152896"
"Deep Latent Variable Models of Natural Language","https://vimeo.com/305182667"
"Standardized Tests as benchmarks for Artificial Intelligence","https://vimeo.com/305187739"
"Deep Chit-Chat: Deep Learning for ChatBots","https://vimeo.com/305179403"
"Opening remarks 1","https://vimeo.com/305202150"
"Keynote I: ""Truth or Lie? Spoken Indicators of Deception in Speech""","https://vimeo.com/305200179"
"[TACL] Comparing Bayesian Models of Annotation","https://vimeo.com/305663095"
"Keynote II: ""Understanding the News that Moves Markets""","https://vimeo.com/305658007"
"[TACL] Recurrent Neural Networks in Linguistic Theory: Revisiting Pinker and Prince (1988) and the Past Tense Debate","https://vimeo.com/305684335"
"[TACL] Adversarial Deep Averaging Networks for Cross-Lingual Sentiment Classification","https://vimeo.com/306129914"
"SIGDAT Business Meeting","https://vimeo.com/306370530"
"Keynote III: ""The Moment of Meaning and the Future of Computational Semantics""","https://vimeo.com/306143088"
"Closing session","https://vimeo.com/306142852"
"Joint Models for NLP","NA"
"Graph Formalisms for Meaning Representations","NA"
"Writing Code for NLP Research","NA"
"Greedy Search with Probabilistic N-gram Matching for Neural Machine Translation","https://vimeo.com/306167593"
